,Title,Author,Description,Num_ratings,Avg_rating,Genres_list,Main_genre,Secondary_genre,Num_pages,ISBN,Link
10,The Immortal Life of Henrietta Lacks,Rebecca Skloot,"Her name was Henrietta Lacks, but scientists know her as HeLa. She was a poor Southern tobacco farmer who worked the same land as her slave ancestors, yet her cells—taken without her knowledge—became one of the most important tools in medicine. The first “immortal” human cells grown in culture, they are still alive today, though she has been dead for more than sixty years. If you could pile all HeLa cells ever grown onto a scale, they’d weigh more than 50 million metric tons—as much as a hundred Empire State Buildings. HeLa cells were vital for developing the polio vaccine; uncovered secrets of cancer, viruses, and the atom bomb’s effects; helped lead to important advances like in vitro fertilization, cloning, and gene mapping; and have been bought and sold by the billions.Yet Henrietta Lacks remains virtually unknown, buried in an unmarked grave.Now Rebecca Skloot takes us on an extraordinary journey, from the “colored” ward of Johns Hopkins Hospital in the 1950s to stark white laboratories with freezers full of HeLa cells; from Henrietta’s small, dying hometown of Clover, Virginia — a land of wooden slave quarters, faith healings, and voodoo — to East Baltimore today, where her children and grandchildren live and struggle with the legacy of her cells.Henrietta’s family did not learn of her “immortality” until more than twenty years after her death, when scientists investigating HeLa began using her husband and children in research without informed consent. And though the cells had launched a multimillion-dollar industry that sells human biological materials, her family never saw any of the profits. As Rebecca Skloot so brilliantly shows, the story of the Lacks family — past and present — is inextricably connected to the dark history of experimentation on African Americans, the birth of bioethics, and the legal battles over whether we control the stuff we are made of.Over the decade it took to uncover this story, Rebecca became enmeshed in the lives of the Lacks family—especially Henrietta’s daughter Deborah, who was devastated to learn about her mother’s cells. She was consumed with questions: Had scientists cloned her mother? Did it hurt her when researchers infected her cells with viruses and shot them into space? What happened to her sister, Elsie, who died in a mental institution at the age of fifteen? And if her mother was so important to medicine, why couldn’t her children afford health insurance?Intimate in feeling, astonishing in scope, and impossible to put down, The Immortal Life of Henrietta Lacks captures the beauty and drama of scientific discovery, as well as its human consequences.",569677,4.07,"{'non-fiction': 10505, 'science': 4555, 'biography': 2864, 'history': 2846, 'medicine': 765, 'audiobook': 700, 'book-club': 612, 'medical': 582, 'historical': 417, 'biography-memoir': 411}",non-fiction,science,370,9781400052172,https://www.goodreads.com//book/show/6493208-the-immortal-life-of-henrietta-lacks
11,Blink,Malcolm Gladwell,"Drawing on cutting-edge neuroscience and psychology and displaying all of the brilliance that made The Tipping Point a classic, Blink changes the way you'll understand every decision you make. Never again will you think about thinking the same way.Malcolm Gladwell redefined how we understand the world around us. Now, in Blink, he revolutionizes the way we understand the world within. Blink is a book about how we think without thinking, about choices that seem to be made in an instant - in the blink of an eye - that actually aren't as simple as they seem. Why are some people brilliant decision makers, while others are consistently inept? Why do some people follow their instincts and win, while others end up stumbling into error? How do our brains really work - in the office, in the classroom, in the kitchen, and in the bedroom? And why are the best decisions often those that are impossible to explain to others? In Blink we meet the psychologist who has learned to predict whether a marriage will last, based on a few minutes of observing a couple; the tennis coach who knows when a player will double-fault before the racket even makes contact with the ball; the antiquities experts who recognize a fake at a glance. Here, too, are great failures of ""blink"": the election of Warren Harding; ""New Coke""; and the shooting of Amadou Diallo by police. Blink reveals that great decision makers aren't those who process the most information or spend the most time deliberating, but those who have perfected the art of ""thin-slicing"" - filtering the very few factors that matter from an overwhelming number of variables.",474350,3.93,"{'non-fiction': 7605, 'psychology': 3471, 'business': 1483, 'science': 1008, 'self-help': 860}",non-fiction,psychology,296,9780316010665,https://www.goodreads.com//book/show/40102.Blink
12,Midnight in the Garden of Good and Evil,John Berendt,"A sublime and seductive reading experience. Brilliantly conceived and masterfully written, this enormously engaging portrait of a most beguiling Southern city has become a modern classic.Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this hauntingly beautiful city of moss-hung oaks and shaded squares. John Berendt's sharply observed, suspenseful, and witty narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt skillfully interweaves a hugely entertaining first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.It is a spellbinding story peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproariously funny black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else.",216481,3.92,"{'non-fiction': 3185, 'true-crime': 1429, 'mystery': 1137, 'crime': 519}",non-fiction,true-crime,386,9780679751526,https://www.goodreads.com//book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil
13,Fast Food Nation,Eric Schlosser,"Fast food has hastened the malling of our landscape, widened the chasm between rich and poor, fueled an epidemic of obesity, and propelled American cultural imperialism abroad. That's a lengthy list of charges, but here Eric Schlosser makes them stick with an artful mix of first-rate reportage, wry wit, and careful reasoning.Schlosser's myth-shattering survey stretches from California's subdivisions where the business was born to the industrial corridor along the New Jersey Turnpike where many fast food's flavors are concocted. Along the way, he unearths a trove of fascinating, unsettling truths -- from the unholy alliance between fast food and Hollywood to the seismic changes the industry has wrought in food production, popular culture, and even real estate. (back cover)",196104,3.74,"{'non-fiction': 3992, 'food': 1363, 'health': 487, 'sociology': 311, 'politics': 261, 'history': 191, 'science': 170, 'school': 114, 'business': 110, 'nutrition': 110}",non-fiction,food,399,9780060838584,https://www.goodreads.com//book/show/1097.Fast_Food_Nation
14,The God Delusion,Richard Dawkins,"A preeminent scientist - and the world's most prominent atheist - asserts the irrationality of belief in God, and the grievous harm religion has inflicted on society, from the Crusades to 9/11.With rigor and wit, Dawkins examines God in all his forms, from the sex-obsessed tyrant of the Old Testament, to the more benign (but still illogical) Celestial Watchmaker favored by some Enlightenment thinkers. He eviscerates the major arguments for religion, and demonstrates the supreme improbability of a supreme being. He shows how religion fuels war, foments bigotry, and abuses children, buttressing his points with historical and contemporary evidence.The God Delusion makes a compelling case that belief in God is not just wrong, but potentially deadly. It also offers exhilarating insight into the advantages of atheism to the individual and society, not the least of which is a clearer, truer appreciation of the universe's wonders than any faith could ever muster.",224564,3.90,"{'non-fiction': 5219, 'religion': 2826, 'science': 2378, 'philosophy': 2096, 'atheism': 991}",non-fiction,religion,374,9780618680009,https://www.goodreads.com//book/show/14743.The_God_Delusion
15,Under the Banner of Heaven,Jon Krakauer,"A Story of Violent FaithA multilayered, bone-chilling narrative of messianic delusion, savage violence, polygamy, and unyielding faith. This is vintage Krakauer, an utterly compelling work of nonfiction that illuminates an otherwise confounding realm of human behavior.Jon Krakauer’s literary reputation rests on insightful chronicles of lives conducted at the outer limits. In Under The Banner of Heaven: A Story of Violent Faith, he shifts his focus from extremes of physical adventure to extremes of religious belief within our own borders. At the core of his book is an appalling double murder committed by two Mormon Fundamentalist brothers, Ron and Dan Lafferty, who insist they received a revelation from God commanding them to kill their blameless victims. Beginning with a meticulously researched account of this ""divinely inspired"" crime, Krakauer constructs a multilayered, bone-chilling narrative of messianic delusion, savage violence, polygamy, and unyielding faith. Along the way, he uncovers a shadowy offshoot of America’s fastest-growing religion, and raises provocative questions about the nature of religious belief.Krakauer takes readers inside isolated communities in the American West, Canada, and Mexico, where some forty-thousand Mormon Fundamentalists believe the mainstream Mormon Church went unforgivably astray when it renounced polygamy. Defying both civil authorities and the Mormon establishment in Salt Lake City, the leaders of these outlaw sects are zealots who answer only to God. Marrying prodigiously and with virtual impunity (the leader of the largest fundamentalist church took seventy-five ""plural wives,"" several of whom were wed to him when they were fourteen or fifteen and he was in his eighties), fundamentalist prophets exercise absolute control over the lives of their followers, and preach that any day now the world will be swept clean in a hurricane of fire, sparing only their most obedient adherents.Weaving the story of the Lafferty brothers and their fanatical brethren with a clear-eyed look at Mormonism’s violent past, Krakauer examines the underbelly of the most successful homegrown faith in the United States, and finds a distinctly American brand of religious extremism. The result is vintage Krakauer, an utterly compelling work of nonfiction that illuminates an otherwise confounding realm of human behavior.",152450,4.00,"{'non-fiction': 4296, 'religion': 1286, 'history': 1184, 'true-crime': 1009, 'crime': 276, 'audiobook': 200, 'biography': 111, 'book-club': 97, 'historical': 85, 'journalism': 83}",non-fiction,religion,400,9780330419123,https://www.goodreads.com//book/show/10847.Under_the_Banner_of_Heaven
16,Man's Search for Meaning,Viktor E. Frankl,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Based on his own experience and the stories of his patients, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. At the heart of his theory, known as logotherapy, is a conviction that the primary human drive is not pleasure but the pursuit of what we find meaningful. Man's Search for Meaning has become one of the most influential books in America; it continues to inspire us all to find significance in the very act of living.",372243,4.36,"{'non-fiction': 5373, 'psychology': 4862, 'philosophy': 4197, 'history': 1659, 'memoir': 1160, 'self-help': 1114}",non-fiction,psychology,165,9780807014295,https://www.goodreads.com//book/show/4069.Man_s_Search_for_Meaning
17,A Brief History of Time,Stephen Hawking,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.",290057,4.18,"{'science': 8720, 'non-fiction': 6283, 'physics': 1469, 'history': 747}",science,non-fiction,212,9780553380163,https://www.goodreads.com//book/show/3869.A_Brief_History_of_Time
18,Nickel and Dimed,Barbara Ehrenreich,"Reveals low-wage America in all its tenacity, anxiety, and surprising generosity--a land of Big Boxes, fast food, and a thousand desperate stratagems for survival.Millions of Americans work full-time, year-round, for poverty-level wages. In 1998, Barbara Ehrenreich decided to join them. She was inspired in part by the rhetoric surrounding welfare reform, which promised that any job equals a better life. But how can anyone survive, let alone prosper, on $6-$7 an hour? To find out, Ehrenreich moved from Florida to Maine to Minnesota, taking the cheapest lodgings available and accepting work as a waitress, hotel maid, house cleaner, nursing home aide, and Wal-Mart salesperson. She soon discovered that even the ""lowliest"" occupations require exhausting mental and physical efforts. And one job is not enough; you need at least two if you intend to live indoors.Nickel and Dimed reveals low-wage America in all its tenacity, anxiety, and surprising generosity--a land of Big Boxes, fast food, and a thousand desperate stratagems for survival. Instantly acclaimed for its insight, humor, and passion, this book is changing the way America perceives its working poor.",175719,3.63,"{'non-fiction': 3874, 'sociology': 556, 'politics': 488, 'economics': 455, 'memoir': 288}",non-fiction,sociology,240,9780805063899,https://www.goodreads.com//book/show/1869.Nickel_and_Dimed
19,On Writing,Stephen King,"""Long live the King"" hailed Entertainment Weekly upon the publication of Stephen King's On Writing. Part memoir, part master class by one of the bestselling authors of all time, this superb volume is a revealing and practical view of the writer's craft, comprising the basic tools of the trade every writer must have. King's advice is grounded in his vivid memories from childhood through his emergence as a writer, from his struggling early career to his widely reported near-fatal accident in 1999 -- and how the inextricable link between writing and living spurred his recovery. Brilliantly structured, friendly and inspiring, On Writing will empower and entertain everyone who reads it -- fans, writers, and anyone who loves a great story well told.(back cover)",214708,4.33,"{'non-fiction': 6561, 'writing': 5229, 'memoir': 1630, 'biography': 956}",non-fiction,writing,320,9780743455961,https://www.goodreads.com//book/show/10569.On_Writing
20,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,"If a man has lost a leg or an eye, he knows he has lost a leg or an eye; but if he has lost a self—himself—he cannot know it, because he is no longer there to know it. Dr. Oliver Sacks recounts the stories of patients struggling to adapt to often bizarre worlds of neurological disorder. Here are people who can no longer recognize everyday objects or those they love; who are stricken with violent tics or shout involuntary obscenities; who have been dismissed as autistic or retarded, yet are gifted with uncanny artistic or mathematical talents. If inconceivably strange, these brilliant tales illuminate what it means to be human.",160155,4.06,"{'non-fiction': 4485, 'psychology': 2984, 'science': 2434, 'medicine': 644, 'neuroscience': 457, 'medical': 456, 'short-stories': 189, 'health': 170, 'essays': 170, 'mental-health': 148}",non-fiction,psychology,243,9780684853949,https://www.goodreads.com//book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales
21,A People's History of the United States,Howard Zinn,"Library Journal calls Howard Zinn’s iconic A People's History of the United States “a brilliant and moving history of the American people from the point of view of those…whose plight has been largely omitted from most histories.” Packed with vivid details and telling quotations, Zinn’s award-winning classic continues to revolutionize the way American history is taught and remembered. Frequent appearances in popular media such as The Sopranos, The Simpsons, Good Will Hunting, and the History Channel documentary The People Speak testify to Zinn’s ability to bridge the generation gap with enduring insights into the birth, development, and destiny of the nation",183048,4.08,"{'history': 6296, 'non-fiction': 3562, 'politics': 892, 'american-history': 466}",history,non-fiction,729,9780060838652,https://www.goodreads.com//book/show/2767.A_People_s_History_of_the_United_States
22,Sapiens,Yuval Noah Harari,"100,000 years ago, at least six human species inhabited the earth. Today there is just one. Us. Homo sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations and human rights; to trust money, books and laws; and to be enslaved by bureaucracy, timetables and consumerism? And what will our world be like in the millennia to come? In Sapiens, Dr Yuval Noah Harari spans the whole of human history, from the very first humans to walk the earth to the radical – and sometimes devastating – breakthroughs of the Cognitive, Agricultural and Scientific Revolutions. Drawing on insights from biology, anthropology, paleontology and economics, he explores how the currents of history have shaped our human societies, the animals and plants around us, and even our personalities. Have we become happier as history has unfolded? Can we ever free our behaviour from the heritage of our ancestors? And what, if anything, can we do to influence the course of the centuries to come? Bold, wide-ranging and provocative, Sapiens challenges everything we thought we knew about being human: our thoughts, our actions, our power ... and our future.",449493,4.43,"{'non-fiction': 10041, 'history': 7717, 'science': 3939, 'philosophy': 1039, 'anthropology': 935, 'audiobook': 799, 'sociology': 385, 'historical': 355, 'psychology': 336, 'evolution': 274}",non-fiction,history,498,null,https://www.goodreads.com//book/show/23692271-sapiens
23,Helter Skelter,Vincent Bugliosi,"Prosecuting attorney in the Manson trial, Vincent Bugliosi held a unique insider's position in one of the most baffling and horrifying cases of the twentieth century: the cold-blooded Tate-LaBianca murders carried out by Charles Manson and four of his followers. What motivated Manson in his seemingly mindless selection of victims, and what was his hold over the young women who obeyed his orders? Here is the gripping story of this famous and haunting crime. 50 pages of b/w photographs.",121345,4.04,"{'true-crime': 2680, 'non-fiction': 2620, 'crime': 748, 'history': 618, 'horror': 289, 'biography': 185, 'audiobook': 151, 'mystery': 124, 'cults': 68, 'psychology': 64}",true-crime,non-fiction,689,9780393322231,https://www.goodreads.com//book/show/105992.Helter_Skelter
24,Columbine,Dave Cullen,"""The tragedies keep coming. As we reel from the latest horror . . . "" So begins a new epilogue, illustrating how Columbine became the template for nearly two decades of ""spectacle murders."" It is a false script, seized upon by a generation of new killers. In the wake of Newtown, Aurora, and Virginia Tech, the imperative to understand the crime that sparked this plague grows more urgent every year.What really happened April 20, 1999? The horror left an indelible stamp on the American psyche, but most of what we ""know"" is wrong. It wasn't about jocks, Goths, or the Trench Coat Mafia. Dave Cullen was one of the first reporters on scene, and spent ten years on this book-widely recognized as the definitive account. With a keen investigative eye and psychological acumen, he draws on mountains of evidence, insight from the world's leading forensic psychologists, and the killers' own words and drawings-several reproduced in a new appendix. Cullen paints raw portraits of two polar opposite killers. They contrast starkly with the flashes of resilience and redemption among the survivors.",67690,4.29,"{'non-fiction': 3267, 'true-crime': 1718, 'history': 722, 'crime': 494, 'audiobook': 195, 'psychology': 178, 'journalism': 107, 'adult': 93, 'sociology': 92, 'biography': 86}",non-fiction,true-crime,417,9780446546935,https://www.goodreads.com//book/show/5632446-columbine
25,Kitchen Confidential,Anthony Bourdain,"A deliciously funny, delectably shocking banquet of wild-but-true tales of life in the culinary trade from Chef Anthony Bourdain, laying out his more than a quarter-century of drugs, sex, and haute cuisine—now with all-new, never-before-published material.New York Chef Tony Bourdain gives away secrets of the trade in his wickedly funny, inspiring memoir/expose. Kitchen Confidential reveals what Bourdain calls ""twenty-five years of sex, drugs, bad behavior and haute cuisine.""",217413,4.08,"{'non-fiction': 3694, 'food': 2033, 'memoir': 1712, 'biography': 999, 'cooking': 661}",non-fiction,food,312,9780060899226,https://www.goodreads.com//book/show/33313.Kitchen_Confidential
